FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,AircraftType,Duration,Status
30,MIA,MIA,2024-12-19 18:00:00,2024-12-19 20:29:00,Airbus A380,149,Scheduled
31,ATL,SEA,2024-07-09 06:09:00,2024-07-09 08:52:00,Boeing 777,163,Cancelled
32,ORD,DFW,2024-07-05 12:27:00,2024-07-05 16:58:00,Boeing 737,271,Cancelled
33,ATL,DEN,2024-07-13 20:17:00,2024-07-14 01:23:00,Airbus A380,306,Cancelled
34,DEN,SFO,2024-01-29 12:37:00,2024-01-29 15:07:00,Boeing 777,150,Scheduled
35,SFO,LAX,2024-05-21 17:34:00,2024-05-21 21:28:00,Airbus A380,234,Scheduled
36,SEA,ORD,2024-10-01 06:19:00,2024-10-01 11:41:00,Boeing 777,322,Delayed
37,LAS,DEN,2024-08-29 15:30:00,2024-08-29 19:59:00,Airbus A320,269,Scheduled
38,ATL,ORD,2024-12-24 19:23:00,2024-12-25 00:06:00,Boeing 737,283,Scheduled
39,SEA,ATL,2024-01-07 19:04:00,2024-01-07 20:36:00,Boeing 737,92,Scheduled
40,LAS,ORD,2024-08-26 23:28:00,2024-08-27 02:19:00,Airbus A380,171,Delayed
41,DFW,DEN,2024-03-18 05:13:00,2024-03-18 10:05:00,Boeing 737,292,Scheduled
42,LAX,DFW,2024-04-28 03:43:00,2024-04-28 07:42:00,Airbus A320,239,Cancelled
43,MIA,DFW,2024-05-25 08:25:00,2024-05-25 10:47:00,Boeing 777,142,Scheduled
44,JFK,LAX,2024-09-25 07:18:00,2024-09-25 13:14:00,Boeing 777,356,Cancelled
45,SFO,ORD,2024-07-05 09:21:00,2024-07-05 12:42:00,Boeing 737,201,Cancelled
46,LAX,LAS,2024-06-18 21:35:00,2024-06-18 22:57:00,Airbus A320,82,Delayed
47,SEA,SFO,2024-03-26 03:48:00,2024-03-26 06:45:00,Boeing 777,177,Cancelled
48,LAS,MIA,2024-01-14 21:37:00,2024-01-15 00:00:00,Airbus A320,143,Scheduled
49,MIA,LAS,2024-12-13 20:05:00,2024-12-13 23:18:00,Boeing 777,193,Delayed
50,ORD,JFK,2024-03-19 18:44:00,2024-03-19 22:07:00,Airbus A320,203,Delayed
51,ORD,DEN,2024-03-15 16:43:00,2024-03-15 20:15:00,Boeing 777,212,Scheduled
52,MIA,DEN,2024-04-30 04:37:00,2024-04-30 08:58:00,Boeing 737,261,Scheduled
53,MIA,LAX,2024-06-27 03:34:00,2024-06-27 05:57:00,Airbus A320,143,Delayed
54,ORD,JFK,2024-04-18 21:39:00,2024-04-19 02:58:00,Airbus A380,319,Cancelled
55,DFW,JFK,2024-08-22 07:27:00,2024-08-22 12:05:00,Airbus A380,278,Delayed
56,JFK,LAX,2024-12-19 17:49:00,2024-12-19 20:11:00,Airbus A320,142,Cancelled
57,JFK,ATL,2024-12-09 21:48:00,2024-12-10 00:39:00,Boeing 777,171,Cancelled
58,JFK,DEN,2024-12-18 02:42:00,2024-12-18 05:47:00,Boeing 737,185,Scheduled
59,DEN,DFW,2024-02-15 07:03:00,2024-02-15 11:14:00,Airbus A380,251,Scheduled
60,ATL,ATL,2024-06-21 19:28:00,2024-06-21 23:19:00,Airbus A380,231,Cancelled
61,SEA,DEN,2024-08-13 17:56:00,2024-08-13 21:17:00,Airbus A320,201,Cancelled
62,DFW,DEN,2024-09-10 13:20:00,2024-09-10 15:58:00,Airbus A380,158,Cancelled
63,LAS,DEN,2024-05-30 09:58:00,2024-05-30 15:08:00,Airbus A320,310,Delayed
64,ORD,JFK,2024-12-10 15:02:00,2024-12-10 20:37:00,Boeing 737,335,Scheduled
65,MIA,LAS,2024-04-11 20:26:00,2024-04-11 23:10:00,Boeing 737,164,Cancelled
66,ATL,SEA,2024-05-12 07:16:00,2024-05-12 09:20:00,Boeing 737,124,Scheduled
67,MIA,ATL,2024-06-13 12:33:00,2024-06-13 17:47:00,Airbus A320,314,Delayed
68,JFK,SEA,2024-03-30 01:17:00,2024-03-30 04:54:00,Boeing 737,217,Scheduled
69,MIA,DFW,2024-07-24 19:47:00,2024-07-25 00:49:00,Boeing 737,302,Scheduled
70,MIA,LAX,2024-06-17 14:22:00,2024-06-17 16:03:00,Boeing 737,101,Delayed
71,ATL,LAX,2024-11-20 03:04:00,2024-11-20 06:57:00,Boeing 777,233,Scheduled
72,MIA,LAX,2024-11-02 08:47:00,2024-11-02 12:45:00,Airbus A380,238,Cancelled
73,DFW,DEN,2024-10-22 03:48:00,2024-10-22 05:45:00,Airbus A320,117,Delayed
74,MIA,DFW,2024-06-01 23:03:00,2024-06-02 01:33:00,Boeing 777,150,Delayed
75,ORD,ATL,2024-10-24 14:27:00,2024-10-24 20:25:00,Boeing 737,358,Scheduled
76,DFW,DFW,2024-08-13 18:03:00,2024-08-13 20:29:00,Boeing 777,146,Scheduled
77,LAX,SEA,2024-10-12 09:48:00,2024-10-12 13:42:00,Boeing 777,234,Cancelled
78,ORD,SEA,2024-04-17 20:05:00,2024-04-17 23:39:00,Airbus A320,214,Delayed
79,ATL,DFW,2024-06-30 13:07:00,2024-06-30 14:16:00,Boeing 737,69,Delayed
80,SFO,MIA,2024-01-25 20:07:00,2024-01-25 22:14:00,Boeing 737,127,Scheduled
81,DEN,MIA,2024-10-02 18:43:00,2024-10-02 20:25:00,Airbus A380,102,Cancelled
82,MIA,JFK,2024-07-10 00:18:00,2024-07-10 04:07:00,Boeing 737,229,Delayed
83,DEN,SEA,2024-12-13 22:20:00,2024-12-14 02:21:00,Boeing 777,241,Delayed
84,SFO,LAS,2024-05-23 02:30:00,2024-05-23 05:11:00,Boeing 777,161,Scheduled
85,SFO,DEN,2024-05-02 06:30:00,2024-05-02 10:30:00,Airbus A320,240,Scheduled
86,SEA,SEA,2024-05-21 00:23:00,2024-05-21 02:31:00,Airbus A320,128,Cancelled
87,DEN,ORD,2024-06-25 18:25:00,2024-06-25 22:12:00,Boeing 737,227,Cancelled
88,MIA,ORD,2024-07-26 20:51:00,2024-07-27 02:06:00,Airbus A380,315,Cancelled
89,LAS,LAX,2024-08-22 12:11:00,2024-08-22 17:45:00,Airbus A320,334,Cancelled
90,DFW,SEA,2024-06-02 05:53:00,2024-06-02 09:42:00,Airbus A380,229,Delayed
91,ATL,ORD,2024-06-30 22:42:00,2024-07-01 02:48:00,Airbus A320,246,Scheduled
92,LAX,JFK,2024-06-18 18:15:00,2024-06-18 23:10:00,Airbus A380,295,Delayed
93,SEA,SEA,2024-11-02 12:21:00,2024-11-02 17:20:00,Airbus A380,299,Delayed
94,LAS,ATL,2024-06-15 11:56:00,2024-06-15 16:19:00,Airbus A320,263,Delayed
95,ATL,LAX,2024-05-03 17:58:00,2024-05-03 20:03:00,Boeing 777,125,Delayed
96,JFK,DEN,2024-10-22 21:16:00,2024-10-23 02:20:00,Boeing 737,304,Delayed
97,DEN,JFK,2024-04-25 11:40:00,2024-04-25 13:40:00,Boeing 737,120,Delayed
98,JFK,SEA,2024-09-17 02:19:00,2024-09-17 05:13:00,Boeing 737,174,Delayed
99,DFW,SFO,2024-04-07 06:24:00,2024-04-07 10:40:00,Boeing 737,256,Delayed
100,SEA,ATL,2024-01-25 06:23:00,2024-01-25 10:46:00,Airbus A380,263,Scheduled
101,SEA,LAX,2024-01-01 03:56:00,2024-01-01 08:14:00,Airbus A380,258,Scheduled
102,SFO,MIA,2024-02-17 15:11:00,2024-02-17 16:33:00,Airbus A320,82,Delayed
103,LAS,DEN,2024-12-19 07:28:00,2024-12-19 11:04:00,Boeing 737,216,Scheduled
104,DFW,ORD,2024-10-18 21:30:00,2024-10-18 23:49:00,Boeing 777,139,Scheduled
105,MIA,ATL,2024-01-24 01:08:00,2024-01-24 04:32:00,Boeing 777,204,Cancelled
106,DFW,JFK,2024-06-04 00:59:00,2024-06-04 06:32:00,Boeing 737,333,Scheduled
107,DFW,JFK,2024-08-12 15:51:00,2024-08-12 18:00:00,Boeing 777,129,Scheduled
108,ORD,JFK,2024-08-11 20:19:00,2024-08-11 23:17:00,Boeing 737,178,Cancelled
109,ATL,MIA,2024-12-20 17:26:00,2024-12-20 21:22:00,Airbus A320,236,Cancelled
110,ATL,LAS,2024-06-16 08:28:00,2024-06-16 13:26:00,Boeing 777,298,Scheduled
111,JFK,JFK,2024-12-14 16:33:00,2024-12-14 22:01:00,Airbus A320,328,Cancelled
112,DEN,SFO,2024-12-22 16:38:00,2024-12-22 18:31:00,Airbus A380,113,Cancelled
113,DFW,MIA,2024-04-02 19:46:00,2024-04-03 01:39:00,Airbus A320,353,Cancelled
114,JFK,ORD,2024-04-18 20:22:00,2024-04-19 00:01:00,Airbus A380,219,Delayed
115,LAX,JFK,2024-01-17 20:01:00,2024-01-18 00:39:00,Boeing 737,278,Delayed
116,ORD,SFO,2024-04-14 11:30:00,2024-04-14 17:04:00,Airbus A320,334,Delayed
117,DFW,ORD,2024-11-05 18:38:00,2024-11-06 00:36:00,Airbus A320,358,Cancelled
118,MIA,JFK,2024-12-16 02:53:00,2024-12-16 08:43:00,Airbus A380,350,Cancelled
119,ORD,SEA,2024-12-16 14:40:00,2024-12-16 18:38:00,Airbus A380,238,Cancelled
120,JFK,DEN,2024-08-14 04:49:00,2024-08-14 05:56:00,Boeing 777,67,Cancelled
121,ATL,DEN,2024-11-30 13:03:00,2024-11-30 16:38:00,Airbus A320,215,Cancelled
122,SFO,SFO,2024-01-23 11:31:00,2024-01-23 12:43:00,Boeing 777,72,Cancelled
123,SEA,ATL,2024-10-27 05:10:00,2024-10-27 11:07:00,Boeing 777,357,Scheduled
124,ORD,ORD,2024-05-24 15:16:00,2024-05-24 16:39:00,Airbus A380,83,Cancelled
125,ATL,SEA,2024-09-17 15:03:00,2024-09-17 20:30:00,Boeing 737,327,Cancelled
126,SEA,LAX,2024-05-11 00:47:00,2024-05-11 04:00:00,Boeing 777,193,Scheduled
127,ATL,MIA,2024-12-19 02:09:00,2024-12-19 08:00:00,Airbus A320,351,Cancelled
128,DEN,MIA,2024-09-06 03:27:00,2024-09-06 06:11:00,Boeing 777,164,Delayed
129,JFK,MIA,2024-01-12 04:01:00,2024-01-12 05:28:00,Airbus A320,87,Cancelled
130,LAX,SEA,2024-01-08 09:44:00,2024-01-08 13:51:00,Boeing 777,247,Delayed
131,LAX,JFK,2024-05-31 14:11:00,2024-05-31 19:03:00,Airbus A320,292,Delayed
132,ATL,ATL,2024-02-05 12:18:00,2024-02-05 14:09:00,Airbus A320,111,Scheduled
133,SFO,SFO,2024-06-14 03:39:00,2024-06-14 05:08:00,Airbus A320,89,Cancelled
134,SFO,SEA,2024-02-04 12:05:00,2024-02-04 15:44:00,Airbus A320,219,Scheduled
135,MIA,DEN,2024-10-02 08:54:00,2024-10-02 11:25:00,Boeing 777,151,Delayed
136,SFO,MIA,2024-09-07 10:47:00,2024-09-07 12:36:00,Airbus A380,109,Scheduled
137,DFW,SFO,2024-08-05 21:30:00,2024-08-06 00:11:00,Boeing 737,161,Cancelled
138,SEA,DFW,2024-05-28 04:14:00,2024-05-28 06:09:00,Airbus A320,115,Cancelled
139,ORD,SFO,2024-10-12 01:02:00,2024-10-12 05:12:00,Boeing 777,250,Scheduled
140,DEN,DFW,2024-03-15 08:59:00,2024-03-15 14:21:00,Airbus A380,322,Scheduled
141,SEA,LAS,2024-04-29 18:35:00,2024-04-29 22:35:00,Airbus A380,240,Delayed
142,SEA,LAX,2024-01-17 16:22:00,2024-01-17 20:53:00,Airbus A380,271,Cancelled
143,ORD,ATL,2024-09-07 22:16:00,2024-09-08 00:59:00,Boeing 737,163,Cancelled
144,SFO,MIA,2024-11-07 09:39:00,2024-11-07 15:32:00,Airbus A380,353,Cancelled
145,LAX,MIA,2024-03-12 19:07:00,2024-03-12 23:35:00,Airbus A320,268,Scheduled
146,SEA,DEN,2024-05-29 07:48:00,2024-05-29 09:13:00,Boeing 777,85,Delayed
147,SEA,DFW,2024-11-28 00:40:00,2024-11-28 02:49:00,Airbus A320,129,Cancelled
148,JFK,ATL,2024-12-02 03:34:00,2024-12-02 05:21:00,Airbus A380,107,Cancelled
149,DFW,MIA,2024-10-28 21:50:00,2024-10-29 02:53:00,Airbus A320,303,Scheduled
150,DEN,ORD,2024-12-07 23:40:00,2024-12-08 05:28:00,Boeing 737,348,Delayed
151,ATL,LAS,2024-08-24 23:12:00,2024-08-25 02:38:00,Airbus A380,206,Cancelled
152,DEN,DEN,2024-03-01 17:39:00,2024-03-01 20:48:00,Boeing 737,189,Delayed
153,LAX,DEN,2024-05-27 12:32:00,2024-05-27 18:18:00,Boeing 737,346,Delayed
154,JFK,JFK,2024-04-08 05:37:00,2024-04-08 07:37:00,Boeing 737,120,Scheduled
155,DFW,DEN,2024-05-26 09:09:00,2024-05-26 14:36:00,Airbus A380,327,Cancelled
156,SFO,SEA,2024-10-12 00:03:00,2024-10-12 02:11:00,Boeing 777,128,Scheduled
157,DEN,ATL,2024-05-10 00:22:00,2024-05-10 05:58:00,Airbus A320,336,Cancelled
158,MIA,MIA,2024-01-07 05:03:00,2024-01-07 06:24:00,Airbus A380,81,Scheduled
159,JFK,JFK,2024-04-30 19:16:00,2024-04-30 22:45:00,Airbus A320,209,Delayed
160,MIA,LAX,2024-10-22 03:35:00,2024-10-22 07:33:00,Boeing 737,238,Scheduled
161,LAS,LAS,2024-08-15 23:06:00,2024-08-16 03:04:00,Airbus A320,238,Scheduled
162,MIA,LAX,2024-01-06 22:29:00,2024-01-07 04:27:00,Boeing 777,358,Delayed
163,DFW,ORD,2024-05-23 15:03:00,2024-05-23 16:29:00,Airbus A380,86,Scheduled
164,DFW,LAX,2024-05-08 04:48:00,2024-05-08 08:40:00,Airbus A320,232,Cancelled
165,DFW,SFO,2024-04-03 10:00:00,2024-04-03 15:31:00,Airbus A320,331,Cancelled
166,ORD,SEA,2024-11-15 23:19:00,2024-11-16 01:10:00,Boeing 777,111,Delayed
167,ATL,DFW,2024-01-31 19:24:00,2024-01-31 23:22:00,Boeing 777,238,Cancelled
168,LAX,DEN,2024-01-19 02:50:00,2024-01-19 08:09:00,Airbus A380,319,Cancelled
169,ORD,DFW,2024-07-17 20:13:00,2024-07-17 22:27:00,Boeing 777,134,Scheduled
170,ORD,SFO,2024-09-16 21:00:00,2024-09-17 00:23:00,Boeing 777,203,Cancelled
171,LAX,MIA,2024-04-14 03:03:00,2024-04-14 07:29:00,Airbus A320,266,Scheduled
172,SFO,SFO,2024-08-26 16:21:00,2024-08-26 21:19:00,Boeing 777,298,Delayed
173,SFO,JFK,2024-12-15 17:16:00,2024-12-15 20:48:00,Airbus A380,212,Cancelled
174,JFK,MIA,2024-05-29 22:32:00,2024-05-30 03:11:00,Airbus A320,279,Delayed
175,LAX,ATL,2024-06-05 13:35:00,2024-06-05 19:20:00,Boeing 777,345,Scheduled
176,LAX,DFW,2024-01-04 11:19:00,2024-01-04 14:53:00,Airbus A380,214,Cancelled
177,JFK,DFW,2024-07-25 10:57:00,2024-07-25 14:45:00,Airbus A320,228,Cancelled
178,SEA,DFW,2024-08-18 20:47:00,2024-08-19 00:15:00,Airbus A320,208,Delayed
179,ATL,ATL,2024-09-19 12:14:00,2024-09-19 16:45:00,Boeing 737,271,Scheduled
180,LAS,SEA,2024-06-05 22:19:00,2024-06-06 01:13:00,Airbus A380,174,Cancelled
181,DFW,SEA,2024-05-14 20:00:00,2024-05-14 22:26:00,Boeing 737,146,Cancelled
182,LAX,DEN,2024-01-19 12:13:00,2024-01-19 15:20:00,Airbus A380,187,Delayed
183,SEA,SFO,2024-09-30 09:51:00,2024-09-30 13:59:00,Airbus A320,248,Scheduled
184,JFK,JFK,2024-01-11 23:42:00,2024-01-12 01:09:00,Boeing 777,87,Scheduled
185,DFW,ATL,2024-06-29 04:08:00,2024-06-29 05:41:00,Airbus A380,93,Cancelled
186,DFW,SEA,2024-04-30 13:16:00,2024-04-30 17:31:00,Airbus A320,255,Delayed
187,ATL,ORD,2024-07-28 04:28:00,2024-07-28 09:12:00,Airbus A380,284,Scheduled
188,LAS,DEN,2024-05-14 18:04:00,2024-05-14 19:57:00,Airbus A380,113,Scheduled
189,LAS,DFW,2024-11-18 11:03:00,2024-11-18 14:27:00,Airbus A320,204,Cancelled
190,SEA,LAX,2024-03-10 14:40:00,2024-03-10 18:47:00,Airbus A380,247,Scheduled
191,DFW,SFO,2024-07-24 02:09:00,2024-07-24 07:37:00,Boeing 777,328,Delayed
192,SEA,JFK,2024-03-02 04:52:00,2024-03-02 09:05:00,Airbus A320,253,Delayed
193,SEA,LAS,2024-04-20 12:12:00,2024-04-20 14:12:00,Boeing 737,120,Delayed
194,LAS,ATL,2024-10-28 15:32:00,2024-10-28 18:10:00,Boeing 737,158,Delayed
195,ATL,MIA,2024-04-11 15:42:00,2024-04-11 20:59:00,Boeing 737,317,Scheduled
196,LAS,SFO,2024-01-28 12:13:00,2024-01-28 16:58:00,Airbus A380,285,Scheduled
197,SEA,MIA,2024-01-05 00:16:00,2024-01-05 06:16:00,Boeing 777,360,Scheduled
198,LAX,DEN,2024-02-13 18:45:00,2024-02-13 21:45:00,Airbus A380,180,Cancelled
199,LAS,ATL,2024-02-10 23:35:00,2024-02-11 03:58:00,Boeing 737,263,Scheduled
200,LAS,DFW,2024-10-04 07:32:00,2024-10-04 10:26:00,Boeing 737,174,Cancelled
201,MIA,SEA,2024-01-29 00:43:00,2024-01-29 02:01:00,Airbus A380,78,Scheduled
202,DFW,DEN,2024-07-30 07:53:00,2024-07-30 09:50:00,Boeing 777,117,Cancelled
203,DEN,JFK,2024-09-30 00:27:00,2024-09-30 04:31:00,Boeing 737,244,Delayed
204,ATL,LAX,2024-07-02 23:56:00,2024-07-03 04:50:00,Boeing 777,294,Cancelled
205,JFK,SEA,2024-12-09 21:21:00,2024-12-10 02:32:00,Boeing 777,311,Scheduled
206,MIA,DFW,2024-04-19 21:47:00,2024-04-20 02:56:00,Airbus A320,309,Scheduled
207,SFO,SEA,2024-11-13 09:49:00,2024-11-13 13:07:00,Boeing 777,198,Delayed
208,LAX,JFK,2024-08-02 19:19:00,2024-08-02 23:52:00,Boeing 777,273,Cancelled
209,SFO,SEA,2024-07-27 06:36:00,2024-07-27 09:10:00,Airbus A320,154,Delayed
210,ORD,DFW,2024-07-26 02:14:00,2024-07-26 05:21:00,Airbus A320,187,Delayed
211,SFO,SEA,2024-10-12 21:10:00,2024-10-13 02:47:00,Boeing 777,337,Cancelled
212,DFW,DFW,2024-06-25 06:47:00,2024-06-25 08:40:00,Airbus A380,113,Cancelled
213,ORD,SFO,2024-02-13 16:41:00,2024-02-13 18:42:00,Airbus A380,121,Scheduled
214,MIA,JFK,2024-08-17 03:56:00,2024-08-17 07:05:00,Airbus A320,189,Delayed
215,DEN,DEN,2024-03-31 17:00:00,2024-03-31 19:47:00,Airbus A380,167,Scheduled
216,JFK,DFW,2024-03-20 12:52:00,2024-03-20 18:01:00,Airbus A380,309,Scheduled
217,DFW,DFW,2024-08-27 14:38:00,2024-08-27 19:01:00,Boeing 777,263,Delayed
218,LAS,DEN,2024-07-25 19:09:00,2024-07-25 22:47:00,Airbus A320,218,Cancelled
219,DFW,LAX,2024-10-19 09:54:00,2024-10-19 15:10:00,Airbus A380,316,Delayed
220,DFW,SFO,2024-04-30 13:13:00,2024-04-30 15:51:00,Airbus A380,158,Cancelled
221,SFO,SEA,2024-02-08 21:52:00,2024-02-09 01:59:00,Boeing 737,247,Delayed
222,DFW,JFK,2024-01-09 04:06:00,2024-01-09 08:40:00,Boeing 777,274,Scheduled
223,ATL,LAS,2024-05-15 21:23:00,2024-05-15 22:45:00,Airbus A320,82,Delayed
224,LAS,JFK,2024-02-02 12:38:00,2024-02-02 13:58:00,Airbus A380,80,Scheduled
225,SFO,ATL,2024-12-05 17:44:00,2024-12-05 22:15:00,Boeing 777,271,Cancelled
226,MIA,ORD,2024-11-01 10:29:00,2024-11-01 15:27:00,Boeing 737,298,Scheduled
227,MIA,JFK,2024-11-27 00:29:00,2024-11-27 02:15:00,Boeing 737,106,Cancelled
228,MIA,DFW,2024-11-16 10:39:00,2024-11-16 13:53:00,Airbus A320,194,Cancelled
229,ORD,DFW,2024-01-14 08:02:00,2024-01-14 10:06:00,Airbus A380,124,Cancelled
230,ATL,LAS,2024-08-03 18:06:00,2024-08-03 23:23:00,Airbus A320,317,Cancelled
231,LAS,DFW,2024-06-16 20:41:00,2024-06-17 02:32:00,Boeing 777,351,Delayed
232,ATL,DFW,2024-04-17 07:06:00,2024-04-17 12:36:00,Boeing 777,330,Cancelled
233,SFO,DEN,2024-04-07 01:25:00,2024-04-07 04:35:00,Boeing 737,190,Cancelled
234,ORD,JFK,2024-10-28 11:51:00,2024-10-28 14:38:00,Airbus A320,167,Scheduled
235,LAS,DFW,2024-03-18 12:19:00,2024-03-18 15:13:00,Boeing 777,174,Cancelled
236,ATL,JFK,2024-02-11 01:20:00,2024-02-11 04:54:00,Boeing 737,214,Delayed
237,SEA,ATL,2024-08-28 13:18:00,2024-08-28 17:58:00,Airbus A320,280,Cancelled
238,DEN,JFK,2024-12-30 10:01:00,2024-12-30 13:14:00,Boeing 737,193,Delayed
239,ATL,ATL,2024-05-16 01:14:00,2024-05-16 07:05:00,Airbus A320,351,Scheduled
240,LAX,SEA,2024-05-09 00:58:00,2024-05-09 06:57:00,Airbus A380,359,Cancelled
241,SFO,JFK,2024-09-21 21:49:00,2024-09-21 22:58:00,Boeing 737,69,Delayed
242,DEN,SFO,2024-04-01 23:26:00,2024-04-02 03:06:00,Airbus A380,220,Scheduled
243,LAS,ORD,2024-11-25 04:30:00,2024-11-25 07:13:00,Boeing 737,163,Delayed
244,JFK,DFW,2024-04-22 05:51:00,2024-04-22 08:09:00,Airbus A320,138,Cancelled
245,DFW,SEA,2024-12-13 07:46:00,2024-12-13 11:52:00,Airbus A380,246,Scheduled
246,JFK,MIA,2024-01-04 07:01:00,2024-01-04 12:50:00,Airbus A380,349,Scheduled
247,DFW,SEA,2024-09-13 02:34:00,2024-09-13 04:19:00,Airbus A380,105,Delayed
248,SFO,LAX,2024-07-20 06:17:00,2024-07-20 07:37:00,Airbus A380,80,Cancelled
249,ATL,MIA,2024-06-05 02:37:00,2024-06-05 04:39:00,Boeing 737,122,Cancelled
250,SFO,SEA,2024-03-31 16:55:00,2024-03-31 21:50:00,Boeing 737,295,Delayed
251,SFO,JFK,2024-02-08 06:32:00,2024-02-08 09:57:00,Airbus A380,205,Scheduled
252,ORD,LAS,2024-03-20 18:28:00,2024-03-20 23:51:00,Boeing 777,323,Scheduled
253,SFO,MIA,2024-06-21 21:40:00,2024-06-22 02:33:00,Boeing 777,293,Delayed
254,MIA,SEA,2024-01-18 05:14:00,2024-01-18 09:10:00,Airbus A380,236,Cancelled
255,DFW,ATL,2024-02-09 03:57:00,2024-02-09 09:37:00,Airbus A380,340,Cancelled
256,DFW,JFK,2024-05-03 15:37:00,2024-05-03 17:04:00,Airbus A380,87,Cancelled
257,DEN,DEN,2024-10-16 09:33:00,2024-10-16 12:03:00,Airbus A320,150,Delayed
258,MIA,SFO,2024-02-09 11:16:00,2024-02-09 13:20:00,Airbus A380,124,Delayed
259,MIA,DEN,2024-01-26 22:21:00,2024-01-27 01:50:00,Airbus A320,209,Cancelled
260,JFK,LAS,2024-01-31 00:49:00,2024-01-31 02:28:00,Boeing 737,99,Cancelled
261,ORD,LAS,2024-11-14 03:51:00,2024-11-14 08:33:00,Airbus A320,282,Cancelled
262,ATL,MIA,2024-05-04 19:25:00,2024-05-04 21:48:00,Airbus A380,143,Cancelled
263,LAS,DEN,2024-03-05 21:19:00,2024-03-06 02:53:00,Boeing 737,334,Scheduled
264,ORD,ATL,2024-07-13 11:40:00,2024-07-13 13:45:00,Boeing 777,125,Scheduled
265,ATL,SEA,2024-10-20 19:00:00,2024-10-20 22:12:00,Airbus A380,192,Scheduled
266,DFW,MIA,2024-10-25 05:46:00,2024-10-25 10:19:00,Boeing 737,273,Delayed
267,LAS,LAX,2024-03-02 01:21:00,2024-03-02 03:54:00,Boeing 777,153,Delayed
268,ORD,ORD,2024-12-02 15:49:00,2024-12-02 19:14:00,Airbus A320,205,Cancelled
269,ORD,DFW,2024-11-20 03:38:00,2024-11-20 06:29:00,Boeing 737,171,Scheduled
270,ORD,DFW,2024-06-11 03:46:00,2024-06-11 08:55:00,Boeing 737,309,Cancelled
271,ATL,SFO,2024-09-27 16:55:00,2024-09-27 18:34:00,Boeing 777,99,Cancelled
272,LAS,LAS,2024-03-16 00:56:00,2024-03-16 02:41:00,Boeing 777,105,Delayed
273,ORD,LAX,2024-11-10 04:40:00,2024-11-10 08:11:00,Airbus A380,211,Delayed
274,LAS,ORD,2024-04-19 11:33:00,2024-04-19 15:42:00,Airbus A380,249,Cancelled
