CrewID,FlightNumber,DutyStartTime,DutyEndTime,DutyType,Status
529,15,2024-06-06 19:40:00,2024-06-07 05:28:00,Flight Duty,Assigned
402,15,2024-06-06 19:40:00,2024-06-07 05:28:00,Flight Duty,Assigned
479,15,2024-06-06 19:40:00,2024-06-07 05:28:00,Standby Duty,Assigned
74,15,2024-06-06 19:40:00,2024-06-07 05:28:00,Standby Duty,Assigned
565,15,2024-06-06 19:40:00,2024-06-07 05:28:00,Standby Duty,Assigned
689,15,2024-06-06 19:40:00,2024-06-07 05:28:00,Standby Duty,Assigned
628,16,2024-08-18 06:36:00,2024-08-18 14:25:00,Standby Duty,Assigned
103,16,2024-08-18 06:36:00,2024-08-18 14:25:00,Standby Duty,Assigned
239,16,2024-08-18 06:36:00,2024-08-18 14:25:00,Flight Duty,Assigned
164,16,2024-08-18 06:36:00,2024-08-18 14:25:00,Standby Duty,Assigned
999,17,2024-06-02 05:37:00,2024-06-02 16:15:00,Flight Duty,Assigned
5,17,2024-06-02 05:37:00,2024-06-02 16:15:00,Standby Duty,Assigned
731,18,2024-07-08 04:29:00,2024-07-08 17:15:00,Rest,Assigned
835,18,2024-07-08 04:29:00,2024-07-08 17:15:00,Standby Duty,Assigned
276,18,2024-07-08 04:29:00,2024-07-08 17:15:00,Rest,Assigned
86,19,2024-02-14 12:29:00,2024-02-14 20:08:00,Rest,Assigned
700,19,2024-02-14 12:29:00,2024-02-14 20:08:00,Standby Duty,Assigned
802,19,2024-02-14 12:29:00,2024-02-14 20:08:00,Rest,Assigned
364,20,2024-03-16 13:57:00,2024-03-17 00:43:00,Rest,Assigned
305,20,2024-03-16 13:57:00,2024-03-17 00:43:00,Rest,Assigned
217,20,2024-03-16 13:57:00,2024-03-17 00:43:00,Flight Duty,Assigned
861,20,2024-03-16 13:57:00,2024-03-17 00:43:00,Flight Duty,Assigned
761,21,2024-04-19 02:55:00,2024-04-19 12:32:00,Rest,Assigned
455,21,2024-04-19 02:55:00,2024-04-19 12:32:00,Standby Duty,Assigned
79,21,2024-04-19 02:55:00,2024-04-19 12:32:00,Rest,Assigned
61,21,2024-04-19 02:55:00,2024-04-19 12:32:00,Standby Duty,Assigned
200,22,2024-05-14 12:44:00,2024-05-15 00:05:00,Flight Duty,Assigned
495,22,2024-05-14 12:44:00,2024-05-15 00:05:00,Flight Duty,Assigned
682,22,2024-05-14 12:44:00,2024-05-15 00:05:00,Rest,Assigned
955,23,2024-06-24 22:21:00,2024-06-25 08:30:00,Standby Duty,Assigned
979,23,2024-06-24 22:21:00,2024-06-25 08:30:00,Flight Duty,Assigned
719,23,2024-06-24 22:21:00,2024-06-25 08:30:00,Flight Duty,Assigned
914,23,2024-06-24 22:21:00,2024-06-25 08:30:00,Standby Duty,Assigned
359,23,2024-06-24 22:21:00,2024-06-25 08:30:00,Flight Duty,Assigned
264,23,2024-06-24 22:21:00,2024-06-25 08:30:00,Rest,Assigned
170,24,2024-10-20 02:27:00,2024-10-20 11:42:00,Flight Duty,Assigned
547,24,2024-10-20 02:27:00,2024-10-20 11:42:00,Standby Duty,Assigned
960,24,2024-10-20 02:27:00,2024-10-20 11:42:00,Rest,Assigned
952,24,2024-10-20 02:27:00,2024-10-20 11:42:00,Rest,Assigned
526,25,2024-01-02 05:34:00,2024-01-02 17:34:00,Flight Duty,Assigned
567,25,2024-01-02 05:34:00,2024-01-02 17:34:00,Flight Duty,Assigned
443,25,2024-01-02 05:34:00,2024-01-02 17:34:00,Standby Duty,Assigned
979,25,2024-01-02 05:34:00,2024-01-02 17:34:00,Standby Duty,Assigned
21,25,2024-01-02 05:34:00,2024-01-02 17:34:00,Rest,Assigned
960,25,2024-01-02 05:34:00,2024-01-02 17:34:00,Flight Duty,Assigned
753,26,2024-04-09 12:25:00,2024-04-10 05:13:00,Flight Duty,Assigned
27,26,2024-04-09 12:25:00,2024-04-10 05:13:00,Rest,Assigned
313,26,2024-04-09 12:25:00,2024-04-10 05:13:00,Standby Duty,Assigned
895,26,2024-04-09 12:25:00,2024-04-10 05:13:00,Rest,Assigned
194,26,2024-04-09 12:25:00,2024-04-10 05:13:00,Rest,Assigned
533,27,2024-03-22 01:30:00,2024-03-22 12:36:00,Standby Duty,Assigned
257,27,2024-03-22 01:30:00,2024-03-22 12:36:00,Rest,Assigned
218,27,2024-03-22 01:30:00,2024-03-22 12:36:00,Rest,Assigned
473,27,2024-03-22 01:30:00,2024-03-22 12:36:00,Standby Duty,Assigned
544,27,2024-03-22 01:30:00,2024-03-22 12:36:00,Rest,Assigned
949,28,2024-03-18 14:55:00,2024-03-18 21:57:00,Rest,Assigned
13,28,2024-03-18 14:55:00,2024-03-18 21:57:00,Rest,Assigned
591,28,2024-03-18 14:55:00,2024-03-18 21:57:00,Flight Duty,Assigned
221,28,2024-03-18 14:55:00,2024-03-18 21:57:00,Rest,Assigned
472,28,2024-03-18 14:55:00,2024-03-18 21:57:00,Standby Duty,Assigned
628,29,2024-01-21 05:24:00,2024-01-21 14:39:00,Standby Duty,Assigned
159,29,2024-01-21 05:24:00,2024-01-21 14:39:00,Standby Duty,Assigned
618,30,2024-12-19 13:00:00,2024-12-20 01:29:00,Standby Duty,Assigned
857,30,2024-12-19 13:00:00,2024-12-20 01:29:00,Rest,Assigned
743,30,2024-12-19 13:00:00,2024-12-20 01:29:00,Standby Duty,Assigned
495,30,2024-12-19 13:00:00,2024-12-20 01:29:00,Standby Duty,Assigned
463,31,2024-07-09 03:09:00,2024-07-09 12:52:00,Rest,Assigned
934,31,2024-07-09 03:09:00,2024-07-09 12:52:00,Rest,Assigned
767,31,2024-07-09 03:09:00,2024-07-09 12:52:00,Rest,Assigned
312,31,2024-07-09 03:09:00,2024-07-09 12:52:00,Rest,Assigned
386,32,2024-07-05 10:27:00,2024-07-05 18:58:00,Rest,Assigned
334,32,2024-07-05 10:27:00,2024-07-05 18:58:00,Flight Duty,Assigned
466,32,2024-07-05 10:27:00,2024-07-05 18:58:00,Rest,Assigned
396,33,2024-07-13 19:17:00,2024-07-14 05:23:00,Rest,Assigned
740,33,2024-07-13 19:17:00,2024-07-14 05:23:00,Rest,Assigned
21,33,2024-07-13 19:17:00,2024-07-14 05:23:00,Flight Duty,Assigned
154,33,2024-07-13 19:17:00,2024-07-14 05:23:00,Standby Duty,Assigned
75,34,2024-01-29 10:37:00,2024-01-29 19:07:00,Flight Duty,Assigned
480,34,2024-01-29 10:37:00,2024-01-29 19:07:00,Standby Duty,Assigned
722,34,2024-01-29 10:37:00,2024-01-29 19:07:00,Standby Duty,Assigned
701,34,2024-01-29 10:37:00,2024-01-29 19:07:00,Standby Duty,Assigned
42,35,2024-05-21 14:34:00,2024-05-22 01:28:00,Flight Duty,Assigned
618,35,2024-05-21 14:34:00,2024-05-22 01:28:00,Rest,Assigned
108,35,2024-05-21 14:34:00,2024-05-22 01:28:00,Standby Duty,Assigned
648,35,2024-05-21 14:34:00,2024-05-22 01:28:00,Rest,Assigned
135,36,2024-10-01 05:19:00,2024-10-01 17:41:00,Rest,Assigned
569,36,2024-10-01 05:19:00,2024-10-01 17:41:00,Flight Duty,Assigned
613,36,2024-10-01 05:19:00,2024-10-01 17:41:00,Rest,Assigned
3,37,2024-08-29 10:30:00,2024-08-29 20:59:00,Standby Duty,Assigned
926,37,2024-08-29 10:30:00,2024-08-29 20:59:00,Rest,Assigned
365,37,2024-08-29 10:30:00,2024-08-29 20:59:00,Flight Duty,Assigned
739,37,2024-08-29 10:30:00,2024-08-29 20:59:00,Standby Duty,Assigned
173,37,2024-08-29 10:30:00,2024-08-29 20:59:00,Rest,Assigned
487,37,2024-08-29 10:30:00,2024-08-29 20:59:00,Standby Duty,Assigned
478,38,2024-12-24 16:23:00,2024-12-25 01:06:00,Rest,Assigned
7,38,2024-12-24 16:23:00,2024-12-25 01:06:00,Standby Duty,Assigned
336,38,2024-12-24 16:23:00,2024-12-25 01:06:00,Standby Duty,Assigned
4,38,2024-12-24 16:23:00,2024-12-25 01:06:00,Flight Duty,Assigned
717,38,2024-12-24 16:23:00,2024-12-25 01:06:00,Standby Duty,Assigned
556,39,2024-01-07 17:04:00,2024-01-08 00:36:00,Rest,Assigned
8,39,2024-01-07 17:04:00,2024-01-08 00:36:00,Flight Duty,Assigned
104,39,2024-01-07 17:04:00,2024-01-08 00:36:00,Rest,Assigned
766,39,2024-01-07 17:04:00,2024-01-08 00:36:00,Rest,Assigned
662,39,2024-01-07 17:04:00,2024-01-08 00:36:00,Standby Duty,Assigned
476,39,2024-01-07 17:04:00,2024-01-08 00:36:00,Rest,Assigned
357,40,2024-08-26 19:28:00,2024-08-27 04:19:00,Standby Duty,Assigned
84,40,2024-08-26 19:28:00,2024-08-27 04:19:00,Rest,Assigned
183,41,2024-03-18 01:13:00,2024-03-18 16:05:00,Standby Duty,Assigned
500,41,2024-03-18 01:13:00,2024-03-18 16:05:00,Standby Duty,Assigned
293,41,2024-03-18 01:13:00,2024-03-18 16:05:00,Standby Duty,Assigned
70,41,2024-03-18 01:13:00,2024-03-18 16:05:00,Rest,Assigned
174,42,2024-04-28 01:43:00,2024-04-28 12:42:00,Flight Duty,Assigned
568,42,2024-04-28 01:43:00,2024-04-28 12:42:00,Flight Duty,Assigned
770,42,2024-04-28 01:43:00,2024-04-28 12:42:00,Standby Duty,Assigned
199,42,2024-04-28 01:43:00,2024-04-28 12:42:00,Rest,Assigned
232,43,2024-05-25 05:25:00,2024-05-25 16:47:00,Rest,Assigned
582,43,2024-05-25 05:25:00,2024-05-25 16:47:00,Standby Duty,Assigned
357,44,2024-09-25 04:18:00,2024-09-25 19:14:00,Rest,Assigned
813,44,2024-09-25 04:18:00,2024-09-25 19:14:00,Standby Duty,Assigned
370,44,2024-09-25 04:18:00,2024-09-25 19:14:00,Rest,Assigned
138,44,2024-09-25 04:18:00,2024-09-25 19:14:00,Flight Duty,Assigned
95,44,2024-09-25 04:18:00,2024-09-25 19:14:00,Rest,Assigned
822,45,2024-07-05 03:21:00,2024-07-05 14:42:00,Standby Duty,Assigned
310,45,2024-07-05 03:21:00,2024-07-05 14:42:00,Flight Duty,Assigned
512,45,2024-07-05 03:21:00,2024-07-05 14:42:00,Flight Duty,Assigned
728,45,2024-07-05 03:21:00,2024-07-05 14:42:00,Rest,Assigned
777,46,2024-06-18 16:35:00,2024-06-19 02:57:00,Flight Duty,Assigned
765,46,2024-06-18 16:35:00,2024-06-19 02:57:00,Flight Duty,Assigned
941,46,2024-06-18 16:35:00,2024-06-19 02:57:00,Standby Duty,Assigned
325,46,2024-06-18 16:35:00,2024-06-19 02:57:00,Flight Duty,Assigned
999,46,2024-06-18 16:35:00,2024-06-19 02:57:00,Rest,Assigned
232,47,2024-03-26 01:48:00,2024-03-26 08:45:00,Standby Duty,Assigned
979,47,2024-03-26 01:48:00,2024-03-26 08:45:00,Flight Duty,Assigned
147,48,2024-01-14 17:37:00,2024-01-15 02:00:00,Flight Duty,Assigned
692,48,2024-01-14 17:37:00,2024-01-15 02:00:00,Rest,Assigned
934,48,2024-01-14 17:37:00,2024-01-15 02:00:00,Standby Duty,Assigned
615,49,2024-12-13 18:05:00,2024-12-14 02:18:00,Flight Duty,Assigned
301,49,2024-12-13 18:05:00,2024-12-14 02:18:00,Rest,Assigned
424,49,2024-12-13 18:05:00,2024-12-14 02:18:00,Flight Duty,Assigned
388,49,2024-12-13 18:05:00,2024-12-14 02:18:00,Standby Duty,Assigned
42,49,2024-12-13 18:05:00,2024-12-14 02:18:00,Standby Duty,Assigned
821,50,2024-03-19 13:44:00,2024-03-20 03:07:00,Flight Duty,Assigned
841,50,2024-03-19 13:44:00,2024-03-20 03:07:00,Flight Duty,Assigned
166,50,2024-03-19 13:44:00,2024-03-20 03:07:00,Standby Duty,Assigned
520,50,2024-03-19 13:44:00,2024-03-20 03:07:00,Rest,Assigned
270,50,2024-03-19 13:44:00,2024-03-20 03:07:00,Rest,Assigned
154,50,2024-03-19 13:44:00,2024-03-20 03:07:00,Flight Duty,Assigned
206,51,2024-03-15 10:43:00,2024-03-16 01:15:00,Rest,Assigned
882,51,2024-03-15 10:43:00,2024-03-16 01:15:00,Rest,Assigned
532,51,2024-03-15 10:43:00,2024-03-16 01:15:00,Standby Duty,Assigned
940,51,2024-03-15 10:43:00,2024-03-16 01:15:00,Flight Duty,Assigned
272,52,2024-04-29 23:37:00,2024-04-30 11:58:00,Flight Duty,Assigned
970,52,2024-04-29 23:37:00,2024-04-30 11:58:00,Standby Duty,Assigned
790,53,2024-06-27 01:34:00,2024-06-27 09:57:00,Standby Duty,Assigned
533,53,2024-06-27 01:34:00,2024-06-27 09:57:00,Standby Duty,Assigned
773,54,2024-04-18 19:39:00,2024-04-19 06:58:00,Rest,Assigned
859,54,2024-04-18 19:39:00,2024-04-19 06:58:00,Standby Duty,Assigned
184,54,2024-04-18 19:39:00,2024-04-19 06:58:00,Standby Duty,Assigned
750,54,2024-04-18 19:39:00,2024-04-19 06:58:00,Standby Duty,Assigned
713,54,2024-04-18 19:39:00,2024-04-19 06:58:00,Flight Duty,Assigned
678,54,2024-04-18 19:39:00,2024-04-19 06:58:00,Standby Duty,Assigned
433,55,2024-08-22 03:27:00,2024-08-22 14:05:00,Rest,Assigned
104,55,2024-08-22 03:27:00,2024-08-22 14:05:00,Standby Duty,Assigned
490,55,2024-08-22 03:27:00,2024-08-22 14:05:00,Flight Duty,Assigned
825,55,2024-08-22 03:27:00,2024-08-22 14:05:00,Standby Duty,Assigned
47,55,2024-08-22 03:27:00,2024-08-22 14:05:00,Flight Duty,Assigned
46,55,2024-08-22 03:27:00,2024-08-22 14:05:00,Flight Duty,Assigned
27,56,2024-12-19 12:49:00,2024-12-20 01:11:00,Flight Duty,Assigned
580,56,2024-12-19 12:49:00,2024-12-20 01:11:00,Flight Duty,Assigned
533,56,2024-12-19 12:49:00,2024-12-20 01:11:00,Flight Duty,Assigned
4,56,2024-12-19 12:49:00,2024-12-20 01:11:00,Rest,Assigned
517,57,2024-12-09 19:48:00,2024-12-10 06:39:00,Standby Duty,Assigned
199,57,2024-12-09 19:48:00,2024-12-10 06:39:00,Standby Duty,Assigned
188,58,2024-12-17 21:42:00,2024-12-18 08:47:00,Flight Duty,Assigned
317,58,2024-12-17 21:42:00,2024-12-18 08:47:00,Flight Duty,Assigned
643,58,2024-12-17 21:42:00,2024-12-18 08:47:00,Standby Duty,Assigned
428,58,2024-12-17 21:42:00,2024-12-18 08:47:00,Rest,Assigned
405,58,2024-12-17 21:42:00,2024-12-18 08:47:00,Flight Duty,Assigned
14,58,2024-12-17 21:42:00,2024-12-18 08:47:00,Standby Duty,Assigned
814,59,2024-02-15 03:03:00,2024-02-15 14:14:00,Flight Duty,Assigned
496,59,2024-02-15 03:03:00,2024-02-15 14:14:00,Rest,Assigned
396,59,2024-02-15 03:03:00,2024-02-15 14:14:00,Standby Duty,Assigned
726,59,2024-02-15 03:03:00,2024-02-15 14:14:00,Standby Duty,Assigned
333,59,2024-02-15 03:03:00,2024-02-15 14:14:00,Flight Duty,Assigned
196,60,2024-06-21 18:28:00,2024-06-22 03:19:00,Flight Duty,Assigned
663,60,2024-06-21 18:28:00,2024-06-22 03:19:00,Rest,Assigned
193,60,2024-06-21 18:28:00,2024-06-22 03:19:00,Rest,Assigned
263,61,2024-08-13 15:56:00,2024-08-13 23:17:00,Flight Duty,Assigned
798,61,2024-08-13 15:56:00,2024-08-13 23:17:00,Flight Duty,Assigned
11,62,2024-09-10 10:20:00,2024-09-10 19:58:00,Rest,Assigned
234,62,2024-09-10 10:20:00,2024-09-10 19:58:00,Rest,Assigned
402,63,2024-05-30 08:58:00,2024-05-30 17:08:00,Rest,Assigned
220,63,2024-05-30 08:58:00,2024-05-30 17:08:00,Flight Duty,Assigned
52,63,2024-05-30 08:58:00,2024-05-30 17:08:00,Standby Duty,Assigned
406,64,2024-12-10 12:02:00,2024-12-10 21:37:00,Rest,Assigned
755,64,2024-12-10 12:02:00,2024-12-10 21:37:00,Flight Duty,Assigned
697,64,2024-12-10 12:02:00,2024-12-10 21:37:00,Standby Duty,Assigned
312,64,2024-12-10 12:02:00,2024-12-10 21:37:00,Flight Duty,Assigned
746,65,2024-04-11 19:26:00,2024-04-12 00:10:00,Standby Duty,Assigned
576,65,2024-04-11 19:26:00,2024-04-12 00:10:00,Flight Duty,Assigned
489,65,2024-04-11 19:26:00,2024-04-12 00:10:00,Rest,Assigned
586,65,2024-04-11 19:26:00,2024-04-12 00:10:00,Rest,Assigned
365,66,2024-05-12 06:16:00,2024-05-12 15:20:00,Standby Duty,Assigned
333,66,2024-05-12 06:16:00,2024-05-12 15:20:00,Standby Duty,Assigned
239,66,2024-05-12 06:16:00,2024-05-12 15:20:00,Flight Duty,Assigned
646,66,2024-05-12 06:16:00,2024-05-12 15:20:00,Rest,Assigned
545,66,2024-05-12 06:16:00,2024-05-12 15:20:00,Standby Duty,Assigned
854,66,2024-05-12 06:16:00,2024-05-12 15:20:00,Flight Duty,Assigned
638,67,2024-06-13 10:33:00,2024-06-13 18:47:00,Rest,Assigned
907,67,2024-06-13 10:33:00,2024-06-13 18:47:00,Flight Duty,Assigned
468,67,2024-06-13 10:33:00,2024-06-13 18:47:00,Rest,Assigned
449,68,2024-03-29 19:17:00,2024-03-30 07:54:00,Rest,Assigned
149,68,2024-03-29 19:17:00,2024-03-30 07:54:00,Rest,Assigned
962,68,2024-03-29 19:17:00,2024-03-30 07:54:00,Standby Duty,Assigned
799,68,2024-03-29 19:17:00,2024-03-30 07:54:00,Flight Duty,Assigned
606,68,2024-03-29 19:17:00,2024-03-30 07:54:00,Standby Duty,Assigned
463,68,2024-03-29 19:17:00,2024-03-30 07:54:00,Flight Duty,Assigned
237,69,2024-07-24 16:47:00,2024-07-25 01:49:00,Flight Duty,Assigned
558,69,2024-07-24 16:47:00,2024-07-25 01:49:00,Rest,Assigned
532,69,2024-07-24 16:47:00,2024-07-25 01:49:00,Flight Duty,Assigned
23,70,2024-06-17 12:22:00,2024-06-17 19:03:00,Standby Duty,Assigned
762,70,2024-06-17 12:22:00,2024-06-17 19:03:00,Standby Duty,Assigned
536,70,2024-06-17 12:22:00,2024-06-17 19:03:00,Standby Duty,Assigned
26,70,2024-06-17 12:22:00,2024-06-17 19:03:00,Flight Duty,Assigned
355,71,2024-11-19 21:04:00,2024-11-20 12:57:00,Rest,Assigned
377,71,2024-11-19 21:04:00,2024-11-20 12:57:00,Flight Duty,Assigned
987,71,2024-11-19 21:04:00,2024-11-20 12:57:00,Standby Duty,Assigned
221,71,2024-11-19 21:04:00,2024-11-20 12:57:00,Standby Duty,Assigned
562,71,2024-11-19 21:04:00,2024-11-20 12:57:00,Rest,Assigned
801,71,2024-11-19 21:04:00,2024-11-20 12:57:00,Flight Duty,Assigned
368,72,2024-11-02 04:47:00,2024-11-02 16:45:00,Rest,Assigned
719,72,2024-11-02 04:47:00,2024-11-02 16:45:00,Rest,Assigned
877,73,2024-10-21 21:48:00,2024-10-22 06:45:00,Flight Duty,Assigned
278,73,2024-10-21 21:48:00,2024-10-22 06:45:00,Flight Duty,Assigned
802,74,2024-06-01 17:03:00,2024-06-02 02:33:00,Standby Duty,Assigned
321,74,2024-06-01 17:03:00,2024-06-02 02:33:00,Rest,Assigned
632,74,2024-06-01 17:03:00,2024-06-02 02:33:00,Flight Duty,Assigned
39,75,2024-10-24 10:27:00,2024-10-25 00:25:00,Rest,Assigned
815,75,2024-10-24 10:27:00,2024-10-25 00:25:00,Flight Duty,Assigned
648,75,2024-10-24 10:27:00,2024-10-25 00:25:00,Standby Duty,Assigned
20,75,2024-10-24 10:27:00,2024-10-25 00:25:00,Rest,Assigned
335,76,2024-08-13 13:03:00,2024-08-13 23:29:00,Rest,Assigned
843,76,2024-08-13 13:03:00,2024-08-13 23:29:00,Rest,Assigned
862,76,2024-08-13 13:03:00,2024-08-13 23:29:00,Flight Duty,Assigned
734,76,2024-08-13 13:03:00,2024-08-13 23:29:00,Standby Duty,Assigned
551,76,2024-08-13 13:03:00,2024-08-13 23:29:00,Flight Duty,Assigned
765,76,2024-08-13 13:03:00,2024-08-13 23:29:00,Standby Duty,Assigned
303,77,2024-10-12 03:48:00,2024-10-12 17:42:00,Standby Duty,Assigned
141,77,2024-10-12 03:48:00,2024-10-12 17:42:00,Flight Duty,Assigned
961,77,2024-10-12 03:48:00,2024-10-12 17:42:00,Flight Duty,Assigned
541,77,2024-10-12 03:48:00,2024-10-12 17:42:00,Standby Duty,Assigned
747,77,2024-10-12 03:48:00,2024-10-12 17:42:00,Rest,Assigned
803,78,2024-04-17 15:05:00,2024-04-18 01:39:00,Rest,Assigned
400,78,2024-04-17 15:05:00,2024-04-18 01:39:00,Rest,Assigned
883,78,2024-04-17 15:05:00,2024-04-18 01:39:00,Standby Duty,Assigned
745,78,2024-04-17 15:05:00,2024-04-18 01:39:00,Rest,Assigned
748,78,2024-04-17 15:05:00,2024-04-18 01:39:00,Standby Duty,Assigned
601,79,2024-06-30 12:07:00,2024-06-30 18:16:00,Flight Duty,Assigned
202,79,2024-06-30 12:07:00,2024-06-30 18:16:00,Rest,Assigned
721,79,2024-06-30 12:07:00,2024-06-30 18:16:00,Rest,Assigned
490,79,2024-06-30 12:07:00,2024-06-30 18:16:00,Rest,Assigned
9,79,2024-06-30 12:07:00,2024-06-30 18:16:00,Flight Duty,Assigned
686,80,2024-01-25 14:07:00,2024-01-26 01:14:00,Flight Duty,Assigned
970,80,2024-01-25 14:07:00,2024-01-26 01:14:00,Standby Duty,Assigned
568,80,2024-01-25 14:07:00,2024-01-26 01:14:00,Flight Duty,Assigned
135,80,2024-01-25 14:07:00,2024-01-26 01:14:00,Standby Duty,Assigned
233,81,2024-10-02 15:43:00,2024-10-03 02:25:00,Rest,Assigned
104,81,2024-10-02 15:43:00,2024-10-03 02:25:00,Standby Duty,Assigned
663,82,2024-07-09 22:18:00,2024-07-10 07:07:00,Rest,Assigned
656,82,2024-07-09 22:18:00,2024-07-10 07:07:00,Standby Duty,Assigned
726,82,2024-07-09 22:18:00,2024-07-10 07:07:00,Rest,Assigned
439,82,2024-07-09 22:18:00,2024-07-10 07:07:00,Flight Duty,Assigned
115,82,2024-07-09 22:18:00,2024-07-10 07:07:00,Rest,Assigned
517,83,2024-12-13 21:20:00,2024-12-14 03:21:00,Standby Duty,Assigned
418,83,2024-12-13 21:20:00,2024-12-14 03:21:00,Rest,Assigned
433,83,2024-12-13 21:20:00,2024-12-14 03:21:00,Standby Duty,Assigned
569,83,2024-12-13 21:20:00,2024-12-14 03:21:00,Standby Duty,Assigned
990,83,2024-12-13 21:20:00,2024-12-14 03:21:00,Standby Duty,Assigned
770,84,2024-05-23 00:30:00,2024-05-23 08:11:00,Flight Duty,Assigned
506,84,2024-05-23 00:30:00,2024-05-23 08:11:00,Flight Duty,Assigned
328,84,2024-05-23 00:30:00,2024-05-23 08:11:00,Rest,Assigned
801,85,2024-05-02 00:30:00,2024-05-02 11:30:00,Rest,Assigned
94,85,2024-05-02 00:30:00,2024-05-02 11:30:00,Standby Duty,Assigned
761,85,2024-05-02 00:30:00,2024-05-02 11:30:00,Flight Duty,Assigned
263,85,2024-05-02 00:30:00,2024-05-02 11:30:00,Rest,Assigned
341,85,2024-05-02 00:30:00,2024-05-02 11:30:00,Flight Duty,Assigned
767,86,2024-05-20 21:23:00,2024-05-21 06:31:00,Flight Duty,Assigned
38,86,2024-05-20 21:23:00,2024-05-21 06:31:00,Flight Duty,Assigned
